"model","checkpoint","pipeline","dataset","protocol","shots","seed","accuracy","macro_f1"
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","0","52.8",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","1","51.3",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","2","53.1",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","3","62.1",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","4","53",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","5","54.3",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","6","51.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","7","52",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","8","61.1",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","9","55.7",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","10","47.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","11","50.4",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","12","53.6",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","13","55.4",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","14","59.6",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","15","54.4",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","16","47.1",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","17","53",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","18","53.6",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","10","19","49.7",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","20","0","74.4",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","20","1","78",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","20","2","70.9",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","20","3","72.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","20","4","73.2",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","20","5","69.2",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","20","6","73.8",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","20","7","71.8",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","20","8","76",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","20","9","69.9",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","finetune","20","10","73",""
